id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty
MLA1583102304,Amazon Fire Tv Stick Lite Edición 2022 De Voz  Full Hd 8gb ,new,84039,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1583102304-amazon-fire-tv-stick-lite-edicion-2022-de-voz-full-hd-8gb-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,148027380,MLA352001,84039,Garantía del vendedor: 3 meses
MLA1214650470,Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con 1.5gb Ram,new,145999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1214650470-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-15gb-ram-_JM,http://http2.mlstatic.com/D_870264-MLA74779449903_022024-I.jpg,227681028,MLA352001,145999,Garantía de fábrica: 6 meses
MLA1369051919,Amazon Fire Tv Stick 4k De Voz 3° Gen 8gb Cargador Original!,new,109998,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1369051919-amazon-fire-tv-stick-4k-de-voz-3-gen-8gb-cargador-original-_JM,http://http2.mlstatic.com/D_856996-MLU69145766705_042023-I.jpg,247639927,MLA352001,109998,Garantía del vendedor: 3 meses
MLA1143423103,Tv Stick Amazon Fire Lite Full Hd Control Voz Bt Hdmi Gtia,new,76999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143423103-tv-stick-amazon-fire-lite-full-hd-control-voz-bt-hdmi-gtia-_JM,http://http2.mlstatic.com/D_851607-MLA50433776623_062022-I.jpg,53971387,MLA352001,76999,Garantía del vendedor: 6 meses
MLA1813187988,Amazon Lite Fire Tv Stick  2.ª Generación Hd 8gb 1gb Ram,new,65000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1813187988-amazon-lite-fire-tv-stick-2-generacion-hd-8gb-1gb-ram-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,1513101330,MLA352001,65000,Sin garantía
MLA1214656893,Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con 1.5gb Ram,new,109999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1214656893-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-15gb-ram-_JM,http://http2.mlstatic.com/D_870264-MLA74779449903_022024-I.jpg,227681028,MLA352001,109999,Garantía de fábrica: 6 meses
MLA1143410892,Amazon Fire Tv Stick Lite Control Voz Bt Hdmi Full Hd 8gb +,new,107999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143410892-amazon-fire-tv-stick-lite-control-voz-bt-hdmi-full-hd-8gb--_JM,http://http2.mlstatic.com/D_709099-MLA50433794499_062022-I.jpg,53971387,MLA352001,107999,Garantía del vendedor: 6 meses
MLA1816455130,Amazon Lite Fire Tv Stick 2.ª Generación Full Hd 8gb Con 1gb,new,70000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1816455130-amazon-lite-fire-tv-stick-2-generacion-full-hd-8gb-con-1gb-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,130326065,MLA352001,70000,Garantía del vendedor: 3 meses
MLA1143429135,Amazon Fire Tv Stick Lite Full Hd Control Por Voz Smart + ,new,107999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143429135-amazon-fire-tv-stick-lite-full-hd-control-por-voz-smart--_JM,http://http2.mlstatic.com/D_649466-MLA50433787367_062022-I.jpg,45059170,MLA352001,107999,Garantía del vendedor: 6 meses
MLA1496806950,Amazon Fire Tv Stick Lite 2gen Full Hd 8gb Vemayme,new,109803.11,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1496806950-amazon-fire-tv-stick-lite-2gen-full-hd-8gb-vemayme-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,1014965859,MLA352001,109803.11,Garantía del vendedor: 3 meses
MLA1143409979,Amazon Fire Tv Stick Lite Full Hd Control Voz Smart Tv Hdmi,new,76999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143409979-amazon-fire-tv-stick-lite-full-hd-control-voz-smart-tv-hdmi-_JM,http://http2.mlstatic.com/D_894501-MLA50433789291_062022-I.jpg,45059170,MLA352001,76999,Garantía del vendedor: 6 meses
